year_ID,DATE,YEAR,STATE,CITY,PUBLIC,PRIVATE,FAMILY,FELONY,NON_STRANGER,NUMBER_LOCATIONS,LOCATION_PRIMARY,LOCATION_SECONDARY,UNSOLVED,SHOOTER_COUNT,SHOOTER_SUSPECTED,SHOOTER_MALE,SHOOTER_WHITE,SHOOTER_BLACK,SHOOTER_HISPANIC,SHOOTER_ASIAN,SHOOTER_OTHERNONWHITE,SHOOTER_IMMIGRANT,SHOOTER_AGE_UNDER18,SHOOTER_AGE_18TO24,SHOOTER_AGE_25TO29,SHOOTER_AGE_30TO39,SHOOTER_AGE_40TO49,SHOOTER_AGE_50TO59,SHOOTER_AGE_60PLUS,SHOOTER_FEMALE,SHOOTER_SUICIDE_ONSCENE,SHOOTER_SUICIDE_OFFSCENE,SHOOTER_KILLED_ONSCENE,SHOOTER_KILLED_OFFSCENE,SHOOTER_DETAINED_ONSCENE,SHOOTER_DETAINED_OFFSCENE,VICTIM_COUNT_SHOTINJURED,VICTIM_COUNT_SHOTFATAL,VICTIMS_MALE,VICTIMS_FEMALE,VICTIMS_AGE_UNDER18,VICTIMS_AGE_UNDER12,VICTIMS_AGE_12TO17,VICTIMS_AGE_18TO24,VICTIMS_AGE_25TO29,VICTIMS_AGE_30TO39,VICTIMS_AGE_40TO49,VICTIMS_AGE_50TO59,VICTIMS_AGE_60PLUS,VICTIMS_PREGNANT,VICTIMS_REL_ROMANTIC,VICTIMS_REL_COWORKERS,VICTIMS_REL_CHILDREN,VICTIMS_REL_OTHERFAMILY,VICTIMS_REL_OTHERNONSTRANGER,VICTIMS_REL_STRANGERS,GUNS_MULTIPLE,GUNS_HANDGUN,GUNS_SHOTGUN,GUNS_RIFLE,GUNS_ASSAULTWEAPON,DEFENSIVE_GUNS,OTHER_WEAPONS_USED,SHOOTING_DAYLIGHT,SHOOTER_PRIORARREST,SHOOTER_GANG,SHOOTER_VIOLENCE,SHOOTER_MENTALHEALTH,SHOOTER_MILITARY,SHOOTER_LAWENFORCE,SHOOTER_LOSTJOB,SHOOTER_FINANCIALSTRAIN,SHOOTER_SEPARATION,SHOOTER_CONFLICT,SHOOTER_OTHERSTRESS,SHOOTER_VICTIMABUSE,SHOOTER_VOICEMOTIVES,HATE_CRIME,SHOOTING_SPREE,SHOOTING_RURAL,SHOOTING_SUBURBAN,SHOOTING_URBAN,OFFICIAL_RECORDS,NEWS_ARTICLES_ORD,NEWS_MULTISTATE,NEWS_NYT,NEWS_LATIMES,NEWS_WAPOST,NEWS_CHICAGOTRIB
0,JAN-1980,1980,Illinois,Chicago,1,0,0,1,0,2,7,3,0,2,0,2,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,5,5,3,2,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,5,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,1,0,0,0,1
1,JAN-1980,1980,Indiana,Evansville,0,1,0,1,0,1,20,99,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,5,1,1,0,0,1
2,FEB-1980,1980,Texas,El Paso,1,0,0,0,0,1,3,99,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,5,2,3,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,1,1,1,0,1
3,MAR-1980,1980,Florida,Miami,0,1,0,1,0,1,20,99,1,99,0,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,0,99,0,99,0,0,0,4,3,1,0,0,0,0,0,3,1,0,0,0,99,99,99,99,99,99,99,99,99,99,99,0,0,0,99,99,99,99,99,99,99,99,99,99,99,99,99,0,0,0,0,1,1,2,1,1,0,0,0
4,APR-1980,1980,New York,Selden,1,0,0,1,0,2,18,24,0,2,0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,1,1,0,1,2,0,1,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0
5,MAY-1980,1980,California,Eureka,0,1,0,0,1,2,20,20,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,2,2,0,0,0,0,0,1,1,0,2,0,0,0,0,0,4,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2,1,1,1,0,0
6,MAY-1980,1980,Illinois,Cahokia,0,1,1,0,0,1,20,99,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4,1,3,1,0,1,2,0,0,1,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,1,1,0,0,0
7,MAY-1980,1980,Missouri,Kansas City,0,1,0,1,0,1,20,99,0,2,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,5,3,2,0,0,0,2,1,1,1,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,4,1,0,1,0,0
8,JUN-1980,1980,Texas,Daingerfield,1,0,0,0,0,1,4,99,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,10,5,3,2,1,1,0,0,0,0,1,2,1,0,0,0,0,0,0,5,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5,1,1,1,1,1
9,JUL-1980,1980,California,Lassen Park,0,1,0,0,1,1,20,99,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,1,3,3,3,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,1,99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0
10,JUL-1980,1980,Texas,Lubbock,1,0,0,0,0,1,3,99,1,4,1,4,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,99,0,99,0,0,0,4,4,0,0,0,0,2,0,0,0,0,2,0,99,99,99,99,99,99,0,1,99,99,99,0,0,0,99,99,99,99,99,99,99,99,99,99,99,99,99,0,0,1,0,0,1,1,0,0,0,0,0
11,JUL-1980,1980,Pennsylvania,Coraopolis,1,0,0,0,1,1,13,99,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,4,2,2,0,0,0,0,1,0,0,2,1,0,0,0,0,0,3,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,5,1,0,1,0,1
12,AUG-1980,1980,Florida,Holmes Beach,1,0,0,0,0,1,13,99,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,99,0,99,0,0,1,4,4,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,99,99,99,99,99,99,99,99,99,99,99,99,99,0,0,0,1,0,1,5,1,0,1,0,1
13,AUG-1980,1980,California,West Los Angeles,1,0,0,1,0,1,13,99,0,2,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,2,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,99,1,99,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,1,0,1,0,0
14,SEP-1980,1980,Kentucky,Pike County,0,1,1,0,0,1,20,99,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,0,4,2,1,1,0,1,0,1,0,0,0,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,2,1,0,0,0,0
15,SEP-1980,1980,Massachusetts,Boston,1,0,0,1,1,1,3,99,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,4,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,1,1,1,0,99,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,5,1,1,1,0,0
16,SEP-1980,1980,Ohio,El Dorado,0,1,1,0,0,1,20,99,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,3,3,3,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,5,1,0,0,0,0
17,OCT-1980,1980,Missouri,Des Peres,1,0,0,1,0,1,21,99,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,1,3,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,1,1,0,0,0
